System,Atom,BE,N
Ca/bulk,Ca,426.59,1
Ca/bulk,Ca,426.61,3
CaH2/bulk,Ca,426.82,4
CaO/bulk,O,540.94,3
CaO/bulk,O,540.96,1
CaO/bulk,Ca,426.51,4
CaH2/3,Ca,427.01,4
CaH2/3,Ca,427.05,4
CaH2/3,Ca,427.08,4
CaH2/4,Ca,427.01,8
CaH2/4,Ca,427.06,4
CaH2/4,Ca,427.07,4
CaH2/5,Ca,427,4
CaH2/5,Ca,427.03,4
CaH2/5,Ca,427.04,4
CaH2/5,Ca,427.06,4
CaH2/5,Ca,427.08,4
CaH2/6,Ca,427,4
CaH2/6,Ca,427.03,4
CaH2/6,Ca,427.04,4
CaH2/6,Ca,427.05,4
CaH2/6,Ca,427.06,4
CaH2/6,Ca,427.08,4
CaH2/7,Ca,427,4
CaH2/7,Ca,427.03,4
CaH2/7,Ca,427.05,12
CaH2/7,Ca,427.06,4
CaH2/7,Ca,427.08,4
CaO_OH2/3,Ca,426.21,2
CaO_OH2/3,Ca,426.31,2
CaO_OH2/3,Ca,426.73,2
CaO_OH2/3,O,541.21,2
CaO_OH2/3,O,541.24,2
CaO_OH2/3,O,542.1,2
CaO_OH2/3,O,542.55,1
CaO_OH2/3,O,542.56,1
CaO/3,Ca,426.19,2
CaO/3,Ca,426.25,2
CaO/3,Ca,426.77,2
CaO/3,O,540.68,2
CaO/3,O,541.22,2
CaO/3,O,541.25,2
CaO/4,Ca,426.19,2
CaO/4,Ca,426.22,4
CaO/4,Ca,426.77,2
CaO/4,O,540.68,2
CaO/4,O,541.21,2
CaO/4,O,541.22,2
CaO/4,O,541.24,2
CaO/5,O,540.65,1
CaO/5,O,540.66,1
CaO/5,O,541.21,6
CaO/5,O,541.24,2
CaO/5,Ca,426.19,2
CaO/5,Ca,426.2,2
CaO/5,Ca,426.22,4
CaO/5,Ca,426.77,2
CaO/6,O,540.67,1
CaO/6,O,540.69,1
CaO/6,O,541.21,6
CaO/6,O,541.22,1
CaO/6,O,541.23,1
CaO/6,O,541.24,2
CaO/6,Ca,426.18,2
CaO/6,Ca,426.2,4
CaO/6,Ca,426.22,2
CaO/6,Ca,426.23,2
CaO/6,Ca,426.77,2
CaO/7,O,540.7,1
CaO/7,O,540.71,1
CaO/7,O,541.21,5
CaO/7,O,541.22,1
CaO/7,O,541.23,4
CaO/7,O,541.25,2
CaO/7,Ca,426.19,2
CaO/7,Ca,426.2,2
CaO/7,Ca,426.21,4
CaO/7,Ca,426.22,1
CaO/7,Ca,426.23,3
CaO/7,Ca,426.77,2
CaO/8,O,540.68,2
CaO/8,O,541.17,1
CaO/8,O,541.19,1
CaO/8,O,541.21,8
CaO/8,O,541.23,1
CaO/8,O,541.24,1
CaO/8,O,541.25,1
CaO/8,O,541.27,1
CaO/8,Ca,426.19,2
CaO/8,Ca,426.21,4
CaO/8,Ca,426.22,4
CaO/8,Ca,426.23,2
CaO/8,Ca,426.24,2
CaO/8,Ca,426.77,2
Ca/3,Ca,426.43,1
Ca/3,Ca,426.44,1
Ca/3,Ca,426.52,2
Ca/3,Ca,426.91,2
Ca/4,Ca,426.41,2
Ca/4,Ca,426.45,1
Ca/4,Ca,426.46,1
Ca/4,Ca,426.5,1
Ca/4,Ca,426.51,1
Ca/4,Ca,426.88,1
Ca/4,Ca,426.89,1
Ca/5,Ca,426.42,2
Ca/5,Ca,426.46,3
Ca/5,Ca,426.48,1
Ca/5,Ca,426.5,2
Ca/5,Ca,426.89,2
Ca/6,Ca,426.43,2
Ca/6,Ca,426.49,1
Ca/6,Ca,426.5,1
Ca/6,Ca,426.51,4
Ca/6,Ca,426.53,1
Ca/6,Ca,426.54,1
Ca/6,Ca,426.88,1
Ca/6,Ca,426.89,1
Ca/7,Ca,426.43,2
Ca/7,Ca,426.47,1
Ca/7,Ca,426.48,3
Ca/7,Ca,426.49,4
Ca/7,Ca,426.51,1
Ca/7,Ca,426.52,1
Ca/7,Ca,426.88,1
Ca/7,Ca,426.89,1
Ca/8,Ca,426.43,2
Ca/8,Ca,426.5,4
Ca/8,Ca,426.52,5
Ca/8,Ca,426.53,1
Ca/8,Ca,426.54,2
Ca/8,Ca,426.89,1
Ca/8,Ca,426.91,1
