system,energy
C2H4,-31.975899
C2H4O,-39.079987
C2H6,-40.511385
C3H6,-48.703081
C3H8,-57.092894
CO2,-22.935785
THF,-72.084818
THFn,-158.820173
CaH2,-55.3232355555556
CaO_OH2,-107.87995
CaO,-77.570201
Ca,-11.383222
CH2O,-22.122399
CH4O,-30.200728
C2H4@Ca,-167.826949
C2H4O@Ca,-183.939137
C2H6@Ca,-184.523989
C3H6@Ca,-201.313901
C3H8@Ca,-217.787618
CH2O@Ca,-149.175067
CH4O@Ca,-165.163253
CO2@Ca,-152.78293
THF@Ca,-248.849855
THFn@Ca,-425.016456
C2H4@CaO,-762.80641
C2H4@CaO_OH2,-1035.269263
C2H4O@CaO,-777.425859
C2H4O@CaO_OH2,-1049.544038
C2H6@CaO,-779.778426
C2H6@CaO_OH2,-1052.364718
C3H6@CaO,-796.46905
C3H6@CaO_OH2,-1068.869392
C3H8@CaO,-813.134917
C3H8@CaO_OH2,-1085.687916
CH2O@CaO,-743.111224
CH2O@CaO_OH2,-1015.52099
CH4O@CaO,-760.682598
CH4O@CaO_OH2,-1032.579953
CO2@CaO,-744.652578
CO2@CaO_OH2,-1017.111384
THF@CaO_OH2,-1115.665126
THF@CaO,-843.562035
THFn@CaO_OH2,-1290.879489
THFn@CaO,-1021.291305
C2H4@CaH2,-562.808359
C2H4O@CaH2,-577.581447
C2H6@CaH2,-579.626716
C3H6@CaH2,-596.319378
C3H8@CaH2,-612.882388
CH2O@CaH2,-545.28545
CH4O@CaH2,-560.144012
CO2@CaH2,-545.834327
THF@CaH2,-643.660156
THFn@CaH2,-820.085117
